,date,open,close,high,low,volume,code
969,2019-12-24,1153.0,1148.0,1155.0,1145.0,11823.0,sh600519
970,2019-12-25,1143.0,1133.7,1143.0,1130.01,24305.0,sh600519
971,2019-12-26,1132.0,1135.1,1141.98,1119.99,22877.0,sh600519
972,2019-12-27,1150.0,1163.0,1172.0,1150.0,47066.0,sh600519
973,2019-12-30,1170.2,1185.8,1195.5,1170.2,40760.0,sh600519
974,2019-12-31,1183.0,1183.0,1188.0,1176.51,22588.0,sh600519
975,2020-01-02,1128.0,1130.0,1145.06,1116.0,148099.0,sh600519
976,2020-01-03,1117.0,1078.56,1117.0,1076.9,130318.0,sh600519
977,2020-01-06,1070.86,1077.99,1092.9,1067.3,63414.0,sh600519
978,2020-01-07,1077.5,1094.53,1099.0,1076.4,47853.0,sh600519
979,2020-01-08,1085.05,1088.14,1095.5,1082.58,25008.0,sh600519
980,2020-01-09,1094.0,1102.7,1105.39,1090.0,37405.0,sh600519
981,2020-01-10,1109.0,1112.5,1115.99,1102.5,35975.0,sh600519
982,2020-01-13,1112.5,1124.27,1129.2,1112.0,38515.0,sh600519
983,2020-01-14,1124.2,1107.4,1124.89,1103.0,35144.0,sh600519
984,2020-01-15,1109.01,1112.13,1121.6,1105.0,26029.0,sh600519
985,2020-01-16,1118.87,1107.0,1118.87,1102.58,23191.0,sh600519
986,2020-01-17,1110.0,1107.5,1112.78,1101.01,23472.0,sh600519
987,2020-01-20,1111.86,1091.0,1111.86,1082.0,35391.0,sh600519
988,2020-01-21,1081.0,1075.3,1087.0,1072.3,32874.0,sh600519
989,2020-01-22,1070.0,1075.51,1084.0,1055.38,36200.0,sh600519
990,2020-01-23,1076.0,1052.8,1076.0,1037.0,53468.0,sh600519
991,2020-02-03,985.0,1003.92,1010.68,980.0,123442.0,sh600519
992,2020-02-04,1015.0,1038.01,1057.0,1011.01,62624.0,sh600519
993,2020-02-05,1050.0,1049.99,1054.0,1033.03,47418.0,sh600519
994,2020-02-06,1059.43,1071.0,1075.0,1052.02,47171.0,sh600519
995,2020-02-07,1070.01,1076.0,1077.0,1061.02,31278.0,sh600519
996,2020-02-10,1062.0,1066.49,1074.6,1057.2,30533.0,sh600519
997,2020-02-11,1063.0,1098.0,1099.68,1062.8,47917.0,sh600519
998,2020-02-12,1089.0,1097.27,1098.79,1085.88,28125.0,sh600519
999,2020-02-13,1098.0,1091.0,1113.89,1088.01,30357.0,sh600519
1000,2020-02-14,1090.45,1088.0,1093.51,1083.11,23287.0,sh600519
1001,2020-02-17,1082.5,1093.82,1096.19,1082.4,27028.0,sh600519
1002,2020-02-18,1090.01,1084.0,1096.88,1083.0,26664.0,sh600519
1003,2020-02-19,1085.0,1096.5,1101.5,1078.0,37051.0,sh600519
1004,2020-02-20,1096.7,1118.0,1124.0,1095.41,46802.0,sh600519
1005,2020-02-21,1111.46,1112.88,1123.54,1110.01,28940.0,sh600519
1006,2020-02-24,1105.5,1087.18,1110.0,1085.5,38650.0,sh600519
1007,2020-02-25,1078.0,1074.81,1082.09,1067.88,38385.0,sh600519
1008,2020-02-26,1062.0,1073.7,1084.0,1055.0,43560.0,sh600519
1009,2020-02-27,1076.0,1087.39,1094.99,1076.0,34498.0,sh600519
1010,2020-02-28,1070.3,1057.0,1082.0,1049.97,49946.0,sh600519
1011,2020-03-02,1050.11,1086.01,1096.55,1050.01,47663.0,sh600519
1012,2020-03-03,1098.0,1113.0,1118.88,1098.0,50250.0,sh600519
1013,2020-03-04,1125.0,1128.92,1139.0,1116.24,53792.0,sh600519
1014,2020-03-05,1136.31,1171.0,1174.99,1130.56,62426.0,sh600519
1015,2020-03-06,1163.0,1155.5,1176.0,1151.98,30641.0,sh600519
1016,2020-03-09,1135.0,1114.01,1135.0,1111.31,43404.0,sh600519
1017,2020-03-10,1113.0,1156.0,1168.0,1113.0,58062.0,sh600519
1018,2020-03-11,1155.5,1158.52,1169.58,1141.0,35548.0,sh600519
1019,2020-03-12,1141.22,1138.5,1153.0,1125.1,36631.0,sh600519
1020,2020-03-13,1090.0,1112.03,1128.98,1080.0,75885.0,sh600519
1021,2020-03-16,1103.98,1067.0,1107.95,1062.0,51233.0,sh600519
1022,2020-03-17,1055.0,1045.1,1078.0,1011.12,79359.0,sh600519
1023,2020-03-18,1040.0,1007.99,1060.0,1007.99,73460.0,sh600519
1024,2020-03-19,993.99,996.0,1015.0,960.1,102265.0,sh600519
1025,2020-03-20,1011.0,1035.28,1043.0,1011.0,60139.0,sh600519
1026,2020-03-23,1000.0,1019.0,1035.28,991.52,48472.0,sh600519
1027,2020-03-24,1043.0,1056.0,1058.88,1035.0,46651.0,sh600519
1028,2020-03-25,1087.98,1080.1,1091.36,1074.2,37049.0,sh600519
1029,2020-03-26,1073.33,1064.92,1091.2,1062.0,30049.0,sh600519
1030,2020-03-27,1085.0,1075.5,1092.0,1075.01,36261.0,sh600519
1031,2020-03-30,1060.25,1072.0,1077.0,1057.0,30687.0,sh600519
1032,2020-03-31,1082.0,1111.0,1115.0,1081.8,47984.0,sh600519
1033,2020-04-01,1117.0,1103.0,1129.0,1103.0,33205.0,sh600519
1034,2020-04-02,1104.0,1145.0,1145.0,1103.88,45206.0,sh600519
1035,2020-04-03,1139.03,1139.79,1147.96,1131.98,27618.0,sh600519
1036,2020-04-07,1161.95,1159.95,1166.5,1148.89,43488.0,sh600519
1037,2020-04-08,1152.0,1159.76,1166.31,1152.0,24224.0,sh600519
1038,2020-04-09,1166.0,1158.5,1169.0,1147.96,22817.0,sh600519
1039,2020-04-10,1157.88,1165.0,1181.5,1153.5,27804.0,sh600519
1040,2020-04-13,1165.0,1162.3,1169.98,1148.5,15981.0,sh600519
1041,2020-04-14,1176.0,1185.1,1191.55,1166.0,36800.0,sh600519
1042,2020-04-15,1192.0,1189.6,1203.99,1187.1,29332.0,sh600519
1043,2020-04-16,1192.97,1197.1,1197.1,1184.1,21728.0,sh600519
1044,2020-04-17,1210.0,1226.0,1234.56,1205.01,38246.0,sh600519
1045,2020-04-20,1221.0,1227.3,1231.5,1216.8,24239.0,sh600519
1046,2020-04-21,1221.02,1200.0,1223.99,1193.0,29224.0,sh600519
1047,2020-04-22,1206.0,1244.5,1249.5,1202.22,44035.0,sh600519
1048,2020-04-23,1250.0,1252.26,1265.68,1247.77,26899.0,sh600519
1049,2020-04-24,1248.0,1250.56,1259.89,1235.18,19122.0,sh600519
1050,2020-04-27,1257.0,1276.0,1278.17,1250.96,25904.0,sh600519
1051,2020-04-28,1285.31,1279.13,1299.94,1271.88,34662.0,sh600519
1052,2020-04-29,1277.8,1274.9,1288.1,1258.0,23444.0,sh600519
1053,2020-04-30,1271.0,1265.7,1285.01,1258.88,24661.0,sh600519
1054,2020-05-06,1251.0,1300.0,1300.0,1250.0,35835.0,sh600519
1055,2020-05-07,1299.4,1312.0,1314.99,1293.0,27935.0,sh600519
1056,2020-05-08,1317.0,1314.61,1338.0,1308.51,29079.0,sh600519
1057,2020-05-11,1320.0,1323.01,1335.0,1313.67,23671.0,sh600519
1058,2020-05-12,1318.0,1333.0,1334.99,1316.0,19722.0,sh600519
1059,2020-05-13,1333.0,1335.95,1337.99,1322.88,22014.0,sh600519
1060,2020-05-14,1330.0,1326.59,1334.88,1325.11,18575.0,sh600519
